LAV,LAVQ,LAT,LATQ,Father,Mother,Sibling,Granchild,Granparent,Other relative,Non-relative,LAI
299,Father+Mother+Partner+Grandaparent+Non-relative,42,With partner extended composite,1,2,0,0,5,0,7,421200507
427,Father+Mother+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite,1,2,0,0,5,6,7,421200567
331,Father+Mother+Partner+Grandchild+Non-relative,42,With partner extended composite,1,2,0,4,0,0,7,421204007
459,Father+Mother+Partner+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,2,0,4,0,6,7,421204067
267,Father+Mother+Partner+Non-relative,42,With partner extended composite,1,2,0,0,0,0,7,421200007
395,Father+Mother+Partner+Other relative+Non-relative,42,With partner extended composite,1,2,0,0,0,6,7,421200067
379,Father+Mother+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,1,2,3,4,5,0,7,421234507
507,Father+Mother+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,2,3,4,5,6,7,421234567
315,Father+Mother+Partner+Sibling+Grandaparent+Non-relative,42,With partner extended composite,1,2,3,0,5,0,7,421230507
443,Father+Mother+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite,1,2,3,0,5,6,7,421230567
347,Father+Mother+Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite,1,2,3,4,0,0,7,421234007
475,Father+Mother+Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,2,3,4,0,6,7,421234067
283,Father+Mother+Partner+Sibling+Non-relative,42,With partner extended composite,1,2,3,0,0,0,7,421230007
411,Father+Mother+Partner+Sibling+Other relative+Non-relative,42,With partner extended composite,1,2,3,0,0,6,7,421230067
361,Father+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,1,0,0,4,5,0,7,421004507
489,Father+Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,0,0,4,5,6,7,421004567
297,Father+Partner+Grandaparent+Non-relative,42,With partner extended composite,1,0,0,0,5,0,7,421000507
425,Father+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite,1,0,0,0,5,6,7,421000567
329,Father+Partner+Grandchild+Non-relative,42,With partner extended composite,1,0,0,4,0,0,7,421004007
457,Father+Partner+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,0,0,4,0,6,7,421004067
265,Father+Partner+Non-relative,42,With partner extended composite,1,0,0,0,0,0,7,421000007
393,Father+Partner+Other relative+Non-relative,42,With partner extended composite,1,0,0,0,0,6,7,421000067
377,Father+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,1,0,3,4,5,0,7,421034507
505,Father+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,0,3,4,5,6,7,421034567
313,Father+Partner+Sibling+Grandaparent+Non-relative,42,With partner extended composite,1,0,3,0,5,0,7,421030507
441,Father+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite,1,0,3,0,5,6,7,421030567
345,Father+Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite,1,0,3,4,0,0,7,421034007
473,Father+Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended composite,1,0,3,4,0,6,7,421034067
281,Father+Partner+Sibling+Non-relative,42,With partner extended composite,1,0,3,0,0,0,7,421030007
409,Father+Partner+Sibling+Other relative+Non-relative,42,With partner extended composite,1,0,3,0,0,6,7,421030067
362,Mother+Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,0,2,0,4,5,0,7,420204507
490,Mother+Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,2,0,4,5,6,7,420204567
298,Mother+Partner+Grandaparent+Non-relative,42,With partner extended composite,0,2,0,0,5,0,7,420200507
426,Mother+Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite,0,2,0,0,5,6,7,420200567
330,Mother+Partner+Grandchild+Non-relative,42,With partner extended composite,0,2,0,4,0,0,7,420204007
458,Mother+Partner+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,2,0,4,0,6,7,420204067
266,Mother+Partner+Non-relative,42,With partner extended composite,0,2,0,0,0,0,7,420200007
394,Mother+Partner+Other relative+Non-relative,42,With partner extended composite,0,2,0,0,0,6,7,420200067
378,Mother+Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,0,2,3,4,5,0,7,420234507
506,Mother+Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,2,3,4,5,6,7,420234567
314,Mother+Partner+Sibling+Grandaparent+Non-relative,42,With partner extended composite,0,2,3,0,5,0,7,420230507
442,Mother+Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite,0,2,3,0,5,6,7,420230567
346,Mother+Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite,0,2,3,4,0,0,7,420234007
474,Mother+Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,2,3,4,0,6,7,420234067
282,Mother+Partner+Sibling+Non-relative,42,With partner extended composite,0,2,3,0,0,0,7,420230007
410,Mother+Partner+Sibling+Other relative+Non-relative,42,With partner extended composite,0,2,3,0,0,6,7,420230067
360,Partner+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,0,0,0,4,5,0,7,420004507
488,Partner+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,0,0,4,5,6,7,420004567
296,Partner+Grandaparent+Non-relative,42,With partner extended composite,0,0,0,0,5,0,7,420000507
424,Partner+Grandaparent+Other relative+Non-relative,42,With partner extended composite,0,0,0,0,5,6,7,420000567
328,Partner+Grandchild+Non-relative,42,With partner extended composite,0,0,0,4,0,0,7,420004007
456,Partner+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,0,0,4,0,6,7,420004067
264,Partner+Non-relative,42,With partner extended composite,0,0,0,0,0,0,7,420000007
392,Partner+Other relative+Non-relative,42,With partner extended composite,0,0,0,0,0,6,7,420000067
376,Partner+Sibling+Grandaparent+Grandchild+Non-relative,42,With partner extended composite,0,0,3,4,5,0,7,420034507
504,Partner+Sibling+Grandaparent+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,0,3,4,5,6,7,420034567
312,Partner+Sibling+Grandaparent+Non-relative,42,With partner extended composite,0,0,3,0,5,0,7,420030507
440,Partner+Sibling+Grandaparent+Other relative+Non-relative,42,With partner extended composite,0,0,3,0,5,6,7,420030567
344,Partner+Sibling+Grandchild+Non-relative,42,With partner extended composite,0,0,3,4,0,0,7,420034007
472,Partner+Sibling+Grandchild+Other relative+Non-relative,42,With partner extended composite,0,0,3,4,0,6,7,420034067
280,Partner+Sibling+Non-relative,42,With partner extended composite,0,0,3,0,0,0,7,420030007
408,Partner+Sibling+Other relative+Non-relative,42,With partner extended composite,0,0,3,0,0,6,7,420030067
12,Child+Partner,50,With partner and children,0,0,0,0,0,0,0,500000000
44,Child+Partner+Grandaparent,51,With partner and children extended,0,0,0,0,5,0,0,510000500
108,Child+Partner+Grandaparent+Grandchild,51,With partner and children extended,0,0,0,4,5,0,0,510004500
236,Child+Partner+Grandaparent+Grandchild+Other relative,51,With partner and children extended,0,0,0,4,5,6,0,510004560
172,Child+Partner+Grandaparent+Other relative,51,With partner and children extended,0,0,0,0,5,6,0,510000560
76,Child+Partner+Grandchild,51,With partner and children extended,0,0,0,4,0,0,0,510004000
204,Child+Partner+Grandchild+Other relative,51,With partner and children extended,0,0,0,4,0,6,0,510004060
140,Child+Partner+Other relative,51,With partner and children extended,0,0,0,0,0,6,0,510000060
28,Child+Partner+Sibling,51,With partner and children extended,0,0,3,0,0,0,0,510030000
